ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url,DiscountPercentage
5944,635,285.0,285.0,https://www.bigbasket.com/media/uploads/p/l/266569_16-red-label-tea.jpg,500.0,3,196,https://www.bigbasket.com/pd/266569/red-label-tea-500-g-carton/,0.0
5944,635,145.0,132.0,https://www.bigbasket.com/media/uploads/p/l/266575_18-red-label-tea.jpg,250.0,3,196,https://www.bigbasket.com/pd/266575/red-label-tea-250-g-carton/,8.96551724137931
5944,635,570.0,526.0,https://www.bigbasket.com/media/uploads/p/l/102871_11-red-label-tea.jpg,1.0,3,196,https://www.bigbasket.com/pd/102871/red-label-tea-1-kg/,7.719298245614035
4276,483,470.0,440.0,https://www.bigbasket.com/media/uploads/p/l/137575_4-milky-mist-paneer-premium-fresh.jpg,1.0,1,250,https://www.bigbasket.com/pd/137575/milky-mist-paneer-premium-fresh-1-kg-pouch/,6.382978723404255
4276,483,224.0,224.0,https://www.bigbasket.com/media/uploads/p/l/1200164_3-milky-mist-paneer-premium-fresh.jpg,2.0,1,250,https://www.bigbasket.com/pd/1200164/milky-mist-paneer-premium-fresh-2x200-g/,0.0
4276,483,275.0,255.0,https://www.bigbasket.com/media/uploads/p/l/40003150_3-milky-mist-paneer-premium-fresh.jpg,500.0,1,250,https://www.bigbasket.com/pd/40003150/milky-mist-paneer-premium-fresh-500-g-pouch/,7.2727272727272725
4276,483,112.0,112.0,https://www.bigbasket.com/media/uploads/p/l/264679_3-milky-mist-paneer-premium-fresh.jpg,200.0,1,250,https://www.bigbasket.com/pd/264679/milky-mist-paneer-premium-fresh-200-g-pouch/,0.0
6032,274,25.97,17.5,https://www.bigbasket.com/media/uploads/p/l/10000203_16-fresho-tomato-local.jpg,1.0,7,265,https://www.bigbasket.com/pd/10000203/fresho-tomato-local-1-kg/,32.61455525606468
6032,274,12.99,9.0,https://www.bigbasket.com/media/uploads/p/l/10000204_16-fresho-tomato-local.jpg,500.0,7,265,https://www.bigbasket.com/pd/10000204/fresho-tomato-local-500-g/,30.71593533487298
1063,274,50.65,39.0,https://www.bigbasket.com/media/uploads/p/l/10000072_16-fresho-carrot-orange.jpg,500.0,7,280,https://www.bigbasket.com/pd/10000072/fresho-carrot-orange-500-g/,23.00098716683119
1063,274,101.3,78.0,https://www.bigbasket.com/media/uploads/p/l/10000070_15-fresho-carrot-orange.jpg,1.0,7,280,https://www.bigbasket.com/pd/10000070/fresho-carrot-orange-1-kg/,23.00098716683119
1063,274,25.32,19.5,https://www.bigbasket.com/media/uploads/p/l/10000071_14-fresho-carrot-orange.jpg,250.0,7,280,https://www.bigbasket.com/pd/10000071/fresho-carrot-orange-250-g/,22.98578199052133
58,453,82.0,72.0,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,420.0,10,180,https://www.bigbasket.com/pd/266112/maggi-2-minute-instant-noodles-masala-420-g-pouch/,12.195121951219512
3406,453,14.0,14.0,https://www.bigbasket.com/media/uploads/p/l/266160_19-maggi-masala-instant-noodles-vegetarian.jpg,70.0,10,180,https://www.bigbasket.com/pd/266160/maggi-masala-instant-noodles-vegetarian-70-g-pouch/,0.0
59,453,168.0,156.0,https://www.bigbasket.com/media/uploads/p/l/40125873_4-maggi-2-minute-noodles-masala.jpg,70.0,10,180,https://www.bigbasket.com/pd/40125873/maggi-2-minute-noodles-masala-840-g/,7.142857142857142
57,453,55.0,52.5,https://www.bigbasket.com/media/uploads/p/l/266162_17-maggi-2-minute-instant-noodles-masala.jpg,280.0,10,180,https://www.bigbasket.com/pd/266162/maggi-2-minute-instant-noodles-masala-280-g-pouch/,4.545454545454546
3403,453,28.0,28.0,https://www.bigbasket.com/media/uploads/p/l/266165_14-maggi-masala-2-minute-instant-noodles.jpg,140.0,10,180,https://www.bigbasket.com/pd/266165/maggi-masala-2-minute-instant-noodles-140-g-pouch/,0.0
56,453,109.0,109.0,https://www.bigbasket.com/media/uploads/p/l/266109_19-maggi-2-minute-instant-noodles-masala.jpg,560.0,10,180,https://www.bigbasket.com/pd/266109/maggi-2-minute-instant-noodles-masala-560-g-pouch/,0.0
2842,832,158.0,145.0,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,2.0,10,44,https://www.bigbasket.com/pd/1208825/id-fresho-idly-dosa-batter-2x1-kg/,8.227848101265822
2841,832,79.0,72.5,https://www.bigbasket.com/media/uploads/p/l/271205_14-id-fresho-idly-dosa-batter.jpg,1.0,10,44,https://www.bigbasket.com/pd/271205/id-fresho-idly-dosa-batter-1-kg/,8.227848101265822
666,194,600.0,456.0,https://www.bigbasket.com/media/uploads/p/l/1206304_6-dettol-bathing-bar-soap-germ-protection-original.jpg,8.0,2,31,https://www.bigbasket.com/pd/1206304/dettol-bathing-bar-soap-germ-protection-original-8x125-g/,24.0
667,194,240.0,225.6,https://www.bigbasket.com/media/uploads/p/l/1208387_5-dettol-bathing-bar-soap-original.jpg,6.0,2,31,https://www.bigbasket.com/pd/1208387/dettol-bathing-bar-soap-original-6x75-g/,6.000000000000003
4224,194,75.0,75.0,https://www.bigbasket.com/media/uploads/p/l/100008548_25-dettol-original-bathing-soap-bar-with-76-tfm-protects-from-germs.jpg,125.0,2,31,https://www.bigbasket.com/pd/100008548/dettol-original-bathing-soap-bar-with-76-tfm-protects-from-germs-125-g/,0.0
670,194,300.0,249.0,https://www.bigbasket.com/media/uploads/p/l/1200377_8-dettol-bathing-soap-original.jpg,4.0,2,31,https://www.bigbasket.com/pd/1200377/dettol-bathing-soap-original-4x125-g/,17.0
670,194,150.0,132.0,https://www.bigbasket.com/media/uploads/p/l/1203036_6-dettol-bathing-soap-original.jpg,2.0,2,31,https://www.bigbasket.com/pd/1203036/dettol-bathing-soap-original-2x125-g/,12.0
666,194,450.0,360.0,https://www.bigbasket.com/media/uploads/p/l/1206303_6-dettol-bathing-bar-soap-germ-protection-original.jpg,6.0,2,31,https://www.bigbasket.com/pd/1206303/dettol-bathing-bar-soap-germ-protection-original-6x125-g/,20.0
1467,150,85.0,85.0,https://www.bigbasket.com/media/uploads/p/l/20005547_11-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,150.0,2,322,https://www.bigbasket.com/pd/20005547/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath-150-g/,0.0
1469,150,244.0,219.6,https://www.bigbasket.com/media/uploads/p/l/40186855_5-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,500.0,2,322,https://www.bigbasket.com/pd/40186855/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath-500-g/,10.000000000000002
6040,150,346.0,325.36,https://www.bigbasket.com/media/uploads/p/l/1205003_5-colgate-toothpaste-strong-teeth-dental-cream-anti-cavity.jpg,2.0,2,322,https://www.bigbasket.com/pd/1205003/colgate-toothpaste-strong-teeth-dental-cream-anti-cavity-2x300-g/,5.965317919075141
1466,150,63.0,63.0,https://www.bigbasket.com/media/uploads/p/l/100006161_16-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,100.0,2,322,https://www.bigbasket.com/pd/100006161/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath-100-g/,0.0
1468,150,173.0,166.0,https://www.bigbasket.com/media/uploads/p/l/263925_17-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,3.0,2,322,https://www.bigbasket.com/pd/263925/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath-3-pcs/,4.046242774566474
5818,150,488.0,429.45,https://www.bigbasket.com/media/uploads/p/l/1212657_3-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-saver-pack.jpg,2.0,2,322,https://www.bigbasket.com/pd/1212657/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-saver-pack-2x500-g/,11.997950819672134
4949,55,70.0,57.0,https://www.bigbasket.com/media/uploads/p/l/10000457_13-bb-royal-rice-raw-sona-masoori.jpg,1.0,6,277,https://www.bigbasket.com/pd/10000457/bb-royal-rice-raw-sona-masoori-1-kg-pouch/,18.571428571428573
4950,55,700.0,545.0,https://www.bigbasket.com/media/uploads/p/l/10000404_18-bb-royal-rice-raw-sona-masoori-12-17-months-old.jpg,10.0,6,277,https://www.bigbasket.com/pd/10000404/bb-royal-rice-raw-sona-masoori-12-17-months-old-10-kg-bag/,22.142857142857142
5432,55,1750.0,1245.0,https://www.bigbasket.com/media/uploads/p/l/20001214_15-bb-royal-sona-masoori-raw-rice.jpg,25.0,6,277,https://www.bigbasket.com/pd/20001214/bb-royal-sona-masoori-raw-rice-25-kg-bag/,28.857142857142858
4949,55,350.0,280.0,https://www.bigbasket.com/media/uploads/p/l/10000415_14-bb-royal-rice-raw-sona-masoori.jpg,5.0,6,277,https://www.bigbasket.com/pd/10000415/bb-royal-rice-raw-sona-masoori-5-kg-bag/,20.0
5969,274,50.0,39.0,https://www.bigbasket.com/media/uploads/p/l/40216129_10-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,200.0,3,186,https://www.bigbasket.com/pd/40216129/fresho-tender-coconut-water-no-added-sugar-flavours-200-ml-bottle/,22.0
5969,274,200.0,151.0,https://www.bigbasket.com/media/uploads/p/l/1214882_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,4.0,3,186,https://www.bigbasket.com/pd/1214882/fresho-tender-coconut-water-no-added-sugar-flavours-4x200-ml-bottle/,24.5
5969,274,300.0,219.0,https://www.bigbasket.com/media/uploads/p/l/1214883_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,6.0,3,186,https://www.bigbasket.com/pd/1214883/fresho-tender-coconut-water-no-added-sugar-flavours-6x200-ml-bottle/,27.0
5969,274,400.0,288.0,https://www.bigbasket.com/media/uploads/p/l/1214884_9-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,8.0,3,186,https://www.bigbasket.com/pd/1214884/fresho-tender-coconut-water-no-added-sugar-flavours-8x200-ml-bottle/,28.000000000000004
5969,274,600.0,417.6,https://www.bigbasket.com/media/uploads/p/l/1214885_4-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,12.0,3,186,https://www.bigbasket.com/pd/1214885/fresho-tender-coconut-water-no-added-sugar-flavours-12x200-ml-bottle/,30.399999999999995
5969,274,1200.0,806.4,https://www.bigbasket.com/media/uploads/p/l/1214886_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,24.0,3,186,https://www.bigbasket.com/pd/1214886/fresho-tender-coconut-water-no-added-sugar-flavours-24x200-ml-bottle/,32.800000000000004
