ProductName,Brand,Price,DiscountPrice,Quantity,Category,SubCategory,DiscountPercentage
5847,529,95.0,90.0,50.0,3,179,5.26316
5850,529,795.0,795.0,500.0,3,179,0.0
5848,529,785.0,785.0,1.0,3,179,0.0
5846,529,190.0,190.0,100.0,3,179,0.0
5849,529,10.0,10.0,10.0,3,179,0.0
5845,529,5.0,5.0,5.0,3,179,0.0
5846,529,380.0,338.0,200.0,3,179,11.0526
2578,182,170.0,134.4,2.0,2,122,20.9412
2577,182,85.0,72.0,250.0,2,122,15.2941
2577,182,50.0,45.0,120.0,2,122,10.0
4303,26,255.0,251.0,500.0,1,47,1.56863
982,26,104.0,99.96,2.0,1,47,3.88462
982,26,510.0,502.0,2.0,1,47,1.56863
981,26,156.0,149.94,3.0,1,47,3.88462
4303,26,52.0,51.0,100.0,1,47,1.92308
982,26,208.0,204.0,4.0,1,47,1.92308
2164,483,46.0,45.0,500.0,1,86,2.17391
2164,483,92.0,89.0,2.0,1,86,3.26087
1155,55,160.0,99.0,1.0,6,320,38.125
1155,55,320.0,194.0,2.0,6,320,39.375
1155,55,80.0,51.0,500.0,6,320,36.25
3356,55,60.0,45.0,1.0,6,296,25.0
3356,55,120.0,86.0,2.0,6,296,28.3333
3356,55,30.0,24.0,500.0,6,296,20.0
3356,55,300.0,225.0,5.0,6,296,25.0
3596,55,90.0,69.0,500.0,6,320,23.3333
2542,55,180.0,135.0,1.0,6,320,25.0
808,589,35.0,33.25,250.0,3,69,5.0
4506,55,40.0,35.0,500.0,6,263,12.5
4508,55,80.0,58.0,1.0,6,263,27.5
1803,572,399.0,361.0,16.0,0,95,9.52381
254,572,1199.0,841.5,42.0,0,95,29.8165
6191,54,200.0,139.0,1.0,6,325,30.5
6191,54,100.0,71.0,500.0,6,325,29.0
3686,55,150.0,80.0,500.0,6,331,46.6667
3686,55,30.0,17.0,100.0,6,331,43.3333
3686,55,300.0,158.0,1.0,6,331,47.3333
3686,55,60.0,32.0,200.0,6,331,46.6667
4095,55,675.0,549.0,500.0,6,237,18.6667
4095,55,1299.0,1089.0,1.0,6,237,16.1663
4095,55,140.0,125.0,100.0,6,237,10.7143
4095,55,375.0,235.0,200.0,6,237,37.3333
4954,274,45.45,21.5,500.0,7,149,52.6953
4954,274,90.91,43.0,1.0,7,149,52.7005
2583,122,1236.0,714.0,6.0,9,330,42.233
2587,122,206.0,119.0,1.0,9,330,42.233
2583,122,618.0,267.0,3.0,9,330,56.7961
2583,122,412.0,178.0,2.0,9,330,56.7961
1391,274,87.66,58.5,1.0,7,84,33.2649
1391,274,21.92,15.0,250.0,7,84,31.5693
1391,274,43.83,29.5,500.0,7,84,32.6945
4013,620,199.0,179.0,1.0,10,232,10.0503
4013,620,79.0,72.5,400.0,10,232,8.22785
4011,620,175.0,130.0,600.0,10,232,25.7143
4013,620,292.0,229.0,1.0,10,232,21.5753
4991,620,338.0,338.0,2.0,10,232,0.0
4639,51,210.0,99.0,1.0,9,193,52.8571
5433,55,38.0,26.0,500.0,6,296,31.5789
640,55,75.0,49.0,1.0,6,296,34.6667
2927,792,399.0,219.45,400.0,2,37,45.0
4792,274,37.66,24.5,1.0,7,280,34.9442
4792,274,18.83,12.5,500.0,7,280,33.6166
4100,55,499.0,375.0,5.0,6,244,24.8497
4100,55,60.0,43.0,500.0,6,244,28.3333
4100,55,119.0,83.0,1.0,6,244,30.2521
4100,55,229.0,155.0,2.0,6,244,32.3144
726,55,75.0,45.0,500.0,6,296,40.0
726,55,150.0,89.0,1.0,6,296,40.6667
4940,55,60.0,41.0,1.0,6,278,31.6667
4940,55,30.0,22.0,500.0,6,278,26.6667
4599,572,2299.0,1559.5,88.0,0,95,32.1662
4599,572,320.0,290.5,13.0,0,95,9.21875
4591,572,799.0,610.0,30.0,0,95,23.6546
4592,572,3597.0,2311.0,132.0,0,95,35.752
4599,572,1199.0,862.0,44.0,0,95,28.1068
3401,607,139.0,99.0,4.0,9,73,28.777
3598,55,100.0,71.0,500.0,6,320,29.0
3598,55,200.0,139.0,1.0,6,320,30.5
3598,55,400.0,274.0,2.0,6,320,31.5
5410,503,35.0,33.25,250.0,3,69,5.0
962,274,96.1,74.0,1.0,7,34,22.9969
962,274,48.05,37.0,500.0,7,34,22.9969
672,194,80.0,70.4,2.0,2,31,12.0
668,194,402.0,302.4,6.0,2,31,24.7761
2403,194,536.0,383.04,8.0,2,31,28.5373
668,194,240.0,225.6,6.0,2,31,6.0
672,194,134.0,110.88,2.0,2,31,17.2537
2403,194,268.0,209.16,4.0,2,31,21.9552
5364,194,40.0,40.0,75.0,2,31,0.0
5364,194,67.0,63.0,125.0,2,31,5.97015
2833,55,65.0,48.0,1.0,6,40,26.1538
2833,55,325.0,240.0,5.0,6,40,26.1538
2833,55,600.0,440.0,10.0,6,40,26.6667
2833,55,130.0,93.0,2.0,6,40,28.4615
529,55,68.0,59.0,1.0,6,9,13.2353
528,55,330.0,245.0,5.0,6,9,25.7576
5886,55,35.0,35.0,500.0,6,9,0.0
22,55,136.0,114.0,2.0,6,9,16.1765
529,55,650.0,448.0,10.0,6,9,31.0769
3509,274,69.48,28.0,250.0,7,197,59.7006
3509,274,138.96,55.5,500.0,7,197,60.0604
3508,274,57.14,22.5,200.0,7,197,60.623
3509,274,27.79,11.5,100.0,7,197,58.6182
3509,274,277.92,110.5,1.0,7,197,60.2404
1918,58,299.0,149.5,500.0,8,254,50.0
2052,188,1600.0,736.0,1.0,8,116,54.0
1223,274,605.0,429.0,1.0,5,131,29.0909
1222,274,360.0,211.0,500.0,5,131,41.3889
1221,274,207.0,149.0,250.0,5,131,28.0193
2368,274,141.56,82.0,1.0,7,198,42.074
2368,274,35.39,20.5,250.0,7,198,42.074
6190,55,210.0,155.0,1.0,6,325,26.1905
6190,55,105.0,79.0,500.0,6,325,24.7619
6192,55,420.0,306.0,2.0,6,325,27.1429
2408,274,124.68,71.5,1.0,7,198,42.6532
2408,274,12.47,7.5,100.0,7,198,39.8557
2408,274,31.17,18.0,250.0,7,198,42.2522
2408,274,62.34,36.0,500.0,7,198,42.2522
4620,325,550.0,334.5,2.0,8,102,39.1818
1018,325,275.0,181.0,200.0,8,102,34.1818
2490,665,750.0,555.0,3.0,6,35,26.0
2503,665,250.0,185.0,1.0,6,35,26.0
1062,274,203.9,94.0,1.0,7,280,53.899
1062,274,50.97,23.5,250.0,7,280,53.8944
1062,274,101.95,47.0,500.0,7,280,53.899
895,51,409.0,279.0,370.0,9,73,31.7848
895,51,529.0,349.0,640.0,9,73,34.0265
894,51,409.0,279.0,370.0,9,73,31.7848
895,51,719.0,449.0,1.0,9,73,37.5522
3685,55,60.0,37.0,200.0,6,331,38.3333
3685,55,150.0,89.0,500.0,6,331,40.6667
3685,55,300.0,175.0,1.0,6,331,41.6667
3685,55,30.0,19.0,100.0,6,331,36.6667
542,55,80.0,60.0,1.0,6,263,25.0
543,55,40.0,34.0,500.0,6,263,15.0
935,608,175.0,122.5,100.0,2,122,30.0
936,608,630.0,409.5,3.0,2,122,35.0
936,608,349.0,226.85,200.0,2,122,35.0
936,608,79.0,75.84,50.0,2,122,4.0
936,608,210.0,136.5,150.0,2,122,35.0
4138,55,430.0,238.0,2.0,6,244,44.6512
4139,55,215.0,119.0,2.0,6,244,44.6512
4139,55,110.0,69.0,1.0,6,244,37.2727
4139,55,499.0,299.0,5.0,6,244,40.0802
1151,54,140.0,97.0,1.0,6,320,30.7143
1151,54,70.0,50.0,500.0,6,320,28.5714
4598,572,3597.0,2345.5,108.0,0,95,34.7929
4597,572,2299.0,1612.0,72.0,0,95,29.8826
4590,572,299.0,258.0,11.0,0,95,13.7124
4590,572,799.0,626.5,24.0,0,95,21.5895
4597,572,1199.0,867.5,36.0,0,95,27.648
4174,55,95.0,52.0,500.0,6,244,45.2632
4174,55,189.0,99.0,1.0,6,244,47.619
599,476,199.0,175.0,4.0,2,201,12.0603
4621,325,335.0,220.0,200.0,8,279,34.3284
1072,325,670.0,406.5,2.0,8,279,39.3284
3760,743,90.0,65.0,150.0,8,225,27.7778
3760,743,80.0,58.67,2.0,8,225,26.6625
3760,743,180.0,125.0,2.0,8,225,30.5556
3760,743,40.0,32.0,60.0,8,225,20.0
1051,235,360.0,261.9,2.0,9,32,27.25
41,235,180.0,135.0,10.0,9,32,25.0
1561,55,100.0,60.0,200.0,6,331,40.0
1561,55,50.0,30.0,100.0,6,331,40.0
1560,55,25.0,16.0,50.0,6,331,36.0
1561,55,250.0,148.0,500.0,6,331,40.8
1261,274,11.56,7.5,100.0,7,198,35.1211
1261,274,28.9,18.0,250.0,7,198,37.7163
1261,274,57.79,36.0,500.0,7,198,37.7055
1261,274,115.58,71.5,1.0,7,198,38.1381
856,536,99.0,84.0,120.0,2,37,15.1515
854,536,1197.0,796.0,3.0,2,37,33.5004
857,536,399.0,279.3,400.0,2,37,30.0
3024,739,180.0,164.0,180.0,2,290,8.88889
3024,739,75.0,75.0,80.0,2,290,0.0
3024,739,1035.0,649.0,1.0,2,290,37.2947
3024,739,335.0,285.0,340.0,2,290,14.9254
3025,739,670.0,496.0,580.0,2,290,25.9701
4102,55,450.0,254.0,2.0,6,241,43.5556
1053,55,225.0,127.0,50.0,6,241,43.5556
4101,55,449.0,249.0,100.0,6,241,44.5434
4101,55,130.0,53.0,20.0,6,241,59.2308
1616,274,15.71,5.5,100.0,7,178,64.9905
1616,274,39.29,13.0,250.0,7,178,66.9127
1616,274,157.14,51.0,1.0,7,178,67.5449
795,274,79.22,47.0,1.0,7,149,40.6715
795,274,39.61,23.5,500.0,7,149,40.6715
5427,536,1197.0,796.0,3.0,2,37,33.5004
5412,536,90.0,75.0,50.0,2,122,16.6667
5412,536,399.0,279.3,300.0,2,122,30.0
5413,536,310.0,217.0,200.0,2,122,30.0
5412,536,185.0,148.0,100.0,2,122,20.0
3556,274,13.51,6.5,100.0,7,197,51.8875
3556,274,135.06,61.5,1.0,7,197,54.4647
806,54,280.0,188.0,200.0,6,331,32.8571
806,54,70.0,48.0,50.0,6,331,31.4286
806,54,140.0,95.0,100.0,6,331,32.1429
963,274,71.43,39.0,1.0,7,34,45.4011
963,274,17.86,10.0,250.0,7,34,44.009
963,274,35.71,19.5,500.0,7,34,45.3934
5928,55,80.0,50.0,200.0,6,331,37.5
5928,55,400.0,232.0,1.0,6,331,42.0
5928,55,200.0,120.0,500.0,6,331,40.0
4406,55,400.0,225.0,200.0,6,331,43.75
4406,55,200.0,115.0,100.0,6,331,42.5
1800,572,1199.0,821.0,76.0,0,95,31.5263
249,572,3149.0,1858.0,200.0,0,95,40.9971
250,572,2399.0,1455.5,152.0,0,95,39.3289
1800,572,399.0,361.0,26.0,0,95,9.52381
251,572,799.0,609.5,50.0,0,95,23.7171
3996,206,170.0,170.0,180.0,2,290,0.0
3996,206,740.0,524.0,650.0,2,290,29.1892
3996,206,345.0,281.0,340.0,2,290,18.5507
2622,206,999.0,607.5,1.0,2,290,39.1892
3996,206,72.0,72.0,80.0,2,290,0.0
31,325,455.0,320.0,200.0,8,102,29.6703
4406,54,150.0,95.0,100.0,6,331,36.6667
345,274,135.06,82.0,1.0,7,245,39.2862
345,274,33.77,20.5,250.0,7,297,39.2952
345,274,67.53,41.0,500.0,7,245,39.2862
345,274,13.51,8.5,100.0,7,245,37.0836
1454,632,400.0,368.0,4.0,3,324,8.0
1454,632,200.0,144.0,2.0,3,324,28.0
1454,632,330.0,228.0,1.0,3,324,30.9091
1454,632,100.0,92.0,250.0,3,324,8.0
1454,632,660.0,390.0,2.0,3,324,40.9091
6201,632,300.0,276.0,3.0,3,324,8.0
1454,632,990.0,535.5,3.0,3,324,45.9091
1450,632,500.0,460.0,5.0,3,324,8.0
2760,746,44.0,33.0,500.0,6,263,25.0
6370,746,88.0,82.0,1.0,6,263,6.81818
4135,55,925.0,619.0,10.0,6,243,33.0811
4135,55,95.0,75.0,1.0,6,243,21.0526
4135,55,470.0,349.0,5.0,6,243,25.7447
4134,55,940.0,698.0,2.0,6,243,25.7447
4134,55,1850.0,1238.0,2.0,6,243,33.0811
4135,55,190.0,149.0,2.0,6,243,21.5789
4948,55,120.0,90.0,2.0,6,277,25.0
4948,55,300.0,210.0,5.0,6,277,30.0
4948,55,60.0,45.0,1.0,6,277,25.0
5499,274,14.29,8.5,100.0,7,197,40.5178
2829,55,120.0,78.0,2.0,6,296,35.0
2835,55,30.0,22.0,500.0,6,296,26.6667
2835,55,60.0,41.0,1.0,6,296,31.6667
678,274,140.26,73.5,1.0,7,34,47.5973
678,274,35.06,18.5,250.0,7,34,47.2333
678,274,70.13,37.0,500.0,7,34,47.2408
3313,294,1299.0,1234.0,12.0,2,291,5.00385
3313,294,899.0,854.05,8.0,2,291,5.0
3312,294,1560.0,1152.17,2.0,2,291,26.1429
3313,294,260.0,216.5,2.0,2,291,16.7308
3311,294,499.0,415.0,4.0,2,291,16.8337
3309,294,1840.0,1472.0,16.0,2,291,20.0
3309,294,1260.0,907.2,10.0,2,291,28.0
3309,294,780.0,610.0,6.0,2,291,21.7949
1155,54,150.0,93.0,1.0,6,320,38.0
1155,54,75.0,48.0,500.0,6,320,36.0
1155,54,300.0,182.0,2.0,6,320,39.3333
4979,55,40.0,29.0,500.0,6,296,27.5
4979,55,80.0,55.0,1.0,6,296,31.25
2928,792,335.0,201.0,400.0,2,37,40.0
2929,792,37.0,27.75,40.0,2,37,25.0
6060,792,10.0,9.6,20.0,2,37,4.0
3759,743,40.0,32.0,60.0,8,225,20.0
3759,743,90.0,65.0,150.0,8,225,27.7778
3759,743,180.0,125.0,2.0,8,225,30.5556
3759,743,80.0,58.67,2.0,8,225,26.6625
263,55,1500.0,1050.0,1.0,6,4,30.0
263,55,150.0,108.0,100.0,6,4,28.0
263,55,750.0,530.0,500.0,6,4,29.3333
263,55,300.0,214.0,200.0,6,4,28.6667
3419,304,199.0,183.08,1.0,2,163,8.0
3227,304,99.0,74.0,750.0,2,163,25.2525
2370,274,76.62,39.0,200.0,7,88,49.0995
2370,274,101.31,81.05,3.0,7,88,19.998
2370,274,33.77,27.02,100.0,7,88,19.9882
4327,536,398.0,218.9,2.0,2,332,45.0
4326,536,199.0,159.2,50.0,2,332,20.0
1409,274,36.36,22.5,1.0,7,288,38.1188
6042,150,580.0,393.6,4.0,2,322,32.1379
6043,150,560.0,385.0,2.0,2,322,31.25
6042,150,290.0,221.4,2.0,2,322,23.6552
6247,150,145.0,123.0,100.0,2,322,15.1724
6245,150,88.0,88.0,50.0,2,322,0.0
6246,150,580.0,464.0,100.0,2,322,20.0
6248,150,280.0,192.5,200.0,2,322,31.25
5075,55,70.0,49.0,500.0,6,263,30.0
5075,55,140.0,89.0,1.0,6,263,36.4286
1302,392,190.0,190.0,375.0,10,190,0.0
1302,392,674.0,370.7,1.0,10,190,45.0
1302,392,5.0,5.0,11.0,10,190,0.0
2925,792,210.0,178.5,200.0,2,37,15.0
2926,792,112.0,107.0,100.0,2,37,4.46429
2926,792,435.0,239.25,400.0,2,37,45.0
2547,823,65.0,48.75,200.0,10,139,25.0
2547,823,150.0,112.5,500.0,10,139,25.0
2547,823,260.0,194.0,1.0,10,139,25.3846
4047,58,2600.0,1172.0,2.0,6,233,54.9231
4047,58,1350.0,675.0,1.0,6,233,50.0
1402,536,519.0,363.3,400.0,2,37,30.0
1403,536,1038.0,690.27,2.0,2,37,33.5
1401,536,1557.0,1035.41,3.0,2,37,33.4997
2327,274,100.0,85.0,500.0,10,139,15.0
2326,274,200.0,139.0,1.0,10,139,30.5
6384,536,398.0,218.9,2.0,2,332,45.0
6383,536,199.0,159.2,50.0,2,332,20.0
2582,122,412.0,178.0,2.0,9,330,56.7961
2584,122,206.0,119.0,1.0,9,330,42.233
2582,122,206.0,119.0,1.0,9,330,42.233
2584,122,1236.0,714.0,6.0,9,330,42.233
2582,122,1236.0,714.0,6.0,9,330,42.233
2584,122,618.0,267.0,3.0,9,330,56.7961
2582,122,618.0,267.0,3.0,9,330,56.7961
